State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,,2019,,107 ,2 ,11 ,38 ,56 ,850 ,104 ,678 ,68 ,1 
,WATERBURY,2018,"108,378 ",241 ,3 ,32 ,97 ,109 ,"2,077 ",281 ,"1,393 ",403 ,6 
,,2019,,143 ,1 ,20 ,56 ,66 ,"1,640 ",196 ,"1,110 ",334 ,7 
FLORIDA,BOCA RATON,2018,"100,162 ",96 ,0 ,17 ,30 ,49 ,"1,178 ",147 ,938 ,93 ,4 
,,2019,,92 ,0 ,20 ,34 ,38 ,"1,038 ",110 ,851 ,77 ,5 
,CAPE CORAL,2018,"187,869 ",123 ,0 ,6 ,28 ,89 ,"1,369 ",202 ,"1,084 ",83 ,1 
,,2019,,105 ,1 ,2 ,16 ,86 ,"1,103 ",147 ,865 ,91 ,4 
,CLEARWATER,2018,"116,504 ",267 ,2 ,53 ,59 ,153 ,"1,680 ",185 ,"1,394 ",101 ,4 
,,2019,,219 ,0 ,25 ,48 ,146 ,"1,383 ",137 ,"1,163 ",83 ,3 
,CORAL SPRINGS,2018,"134,640 ",82 ,0 ,14 ,29 ,39 ,"1,035 ",104 ,855 ,76 ,1 
,,2019,,94 ,0 ,24 ,29 ,41 ,"1,083 ",83 ,918 ,82 ,2 
,DAVIE,2018,"107,120 ",137 ,0 ,16 ,35 ,86 ,"1,374 ",107 ,"1,134 ",133 ,1 
,,2019,,126 ,1 ,9 ,29 ,87 ,"1,389 ",110 ,"1,135 ",144 ,8 
,FORT LAUDERDALE,2018,"182,150 ",505 ,11 ,33 ,162 ,299 ,"4,428 ",625 ,"3,368 ",435 ,5 
,,2019,,591 ,9 ,49 ,225 ,308 ,"4,421 ",628 ,"3,367 ",426 ,4 
,GAINESVILLE,2018,"133,400 ",501 ,4 ,74 ,113 ,310 ,"2,532 ",272 ,"2,087 ",173 ,5 
,,2019,,445 ,1 ,80 ,81 ,283 ,"2,272 ",245 ,"1,832 ",195 ,2 
,HIALEAH,2018,"241,778 ",281 ,1 ,18 ,84 ,178 ,"2,686 ",213 ,"2,094 ",379 ,1 
,,2019,,262 ,1 ,12 ,78 ,171 ,"2,472 ",192 ,"2,021 ",259 ,3 
,HOLLYWOOD,2018,"155,503 ",189 ,4 ,12 ,56 ,117 ,"2,101 ",249 ,"1,576 ",276 ,2 
