"State","Year","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Motor Vehicle Theft","Arson"
"NORTH DAKOTA",2018,"249812","492","6","106","66","314","3680","638","2746","296","10"
"OHIO",2018,"1444900","8890","136","912","2888","4954","28762","7396","16806","4560","260"
"OKLAHOMA",2018,"2580646","9884","116","1056","1776","6936","52090","11692","33346","7052","264"
"OREGON",2018,"1127422","2212","6","344","562","1300","18866","2284","13490","3092","102"
"PENNSYLVANIA",2018,"4022406","15940","364","1230","5782","8564","57334","7750","43380","6204","536"
"RHODE ISLAND",2018,"360338","856","10","124","238","484","5658","786","4228","644","16"
"SOUTH CAROLINA",2018,"541264","1400","22","146","276","956","9726","1232","7352","1142","40"
"SOUTH DAKOTA",2018,"360670","742","6","102","108","526","4894","598","3774","522","32"
"TENNESSEE",2018,"4009468","24634","318","1472","5590","17254","93886","15524","67862","10500","368"
"TEXAS",2018,"19553606","46274","506","6460","11018","28290","281440","45620","206222","29598","954"
"UTAH",2018,"1146286","2902","20","568","630","1684","21838","3022","16050","2766","50"
"VIRGINIA",2018,"2758044","4226","98","490","984","2654","31450","3358","25504","2588","126"
"WASHINGTON",2018,"1212192","2658","18","548","588","1504","30458","3982","22386","4090","84"
"WISCONSIN",2018,"1918710","9876","112","768","2390","6606","24690","4978","14386","5326","192"
